RollLongRight,RollLongTrd,RollShortRight,RollShortTrd,rollret,theRet,ticker
775,1565,746,1655,1.94517796,0.14418951,HIMX
777,1571,755,1667,2.03245835,0.08728039,HLS
782,1582,762,1696,2.02486836,-0.00758999,HMN
798,1608,764,1700,1.86716468,-0.15770368,HMSY
801,1612,767,1710,1.81897355,-0.04819113,HNI
806,1624,771,1717,1.73548376,-0.08348979,HP
808,1626,773,1721,1.74313576,0.007652,HPP
809,1631,774,1724,1.70415604,-0.03897972,HRG
809,1631,774,1724,1.70415604,0.0,HRTX
811,1636,775,1726,1.65085045,-0.05330559,HRZN
811,1638,775,1726,1.64817125,-0.0026792,HSEB
811,1638,775,1728,1.63752016,-0.01065109,HSKA
811,1642,781,1736,1.60657394,-0.03094622,HT
813,1645,782,1737,1.62450075,0.01792681,HTA
813,1645,782,1737,1.62450075,0.0,HTF
813,1645,782,1737,1.62450075,0.0,HTGM
813,1645,782,1737,1.62450075,0.0,HTGX
817,1651,785,1742,1.63350174,0.00900099,HW
819,1654,790,1747,1.70847461,0.07497287,HWAY
822,1660,790,1747,1.70391794,-0.00455667,HWCC
824,1664,791,1751,1.71800942,0.01409148,HYB
824,1664,796,1758,1.7837994,0.06578998,HYGS
827,1668,797,1760,1.79679136,0.01299196,HYI
829,1670,797,1760,1.80076121,0.00396985,HYLS
829,1670,797,1760,1.80076121,0.0,HYND
830,1671,815,1791,1.74884078,-0.05192043,IBA
838,1686,815,1791,1.75214358,0.0033028,ICB
841,1692,817,1795,1.73362297,-0.01852061,ICFI
845,1696,821,1801,1.83320087,0.0995779,IEP
846,1701,823,1809,1.76985514,-0.06334573,IFMI
848,1703,825,1816,1.7618682,-0.00798694,IGA
849,1705,825,1817,1.76080449,-0.00106371,IGI
850,1706,831,1826,1.76170894,0.00090445,IGOV
851,1710,831,1829,1.74193469,-0.01977425,IIM
852,1712,833,1833,1.70553344,-0.03640125,IMH
853,1714,833,1833,1.70765419,0.00212075,IMS
855,1716,833,1833,1.72560434,0.01795015,INDY
856,1717,833,1833,1.73066764,0.0050633,INF
856,1718,833,1833,1.7016801,-0.02898754,INTT
856,1782,833,1835,1.66693715,-0.03474295,IPAS
856,1782,835,1837,1.75814333,0.09120618,IPCI
859,1788,835,1839,1.75115747,-0.00698586,IRET
861,1791,837,1843,1.74325304,-0.00790443,ISIL
865,1802,840,1847,1.64434002,-0.09891302,ITUB
866,1804,844,1855,1.63810814,-0.00623188,IVC
869,1813,844,1862,1.60947893,-0.02862921,IVZ
871,1819,846,1865,1.57729781,-0.03218112,JBN
871,1820,848,1869,1.58573816,0.00844035,JBT
874,1827,850,1872,1.62656434,0.04082618,JCI
875,1828,851,1874,1.62574864,-0.0008157,JCOM
876,1832,855,1880,1.66153288,0.03578424,JCS
881,1844,856,1884,1.63530648,-0.0262264,JHI
906,1883,857,1885,1.70183458,0.0665281,JHS
912,1893,858,1889,1.71048074,0.00864616,JLS
917,1899,858,1893,1.72721845,0.01673771,JMT
925,1914,858,1895,1.7250514,-0.00216705,JPS
925,1915,858,1896,1.71042122,-0.01463018,JRI
928,1924,863,1903,1.71292173,0.00250051,JWN
931,1929,864,1906,1.74029619,0.02737446,KATE
935,1935,865,1909,1.77031132,0.03001513,KELYA
936,1937,867,1912,1.79306394,0.02275262,KEM
936,1937,867,1913,1.79306394,0.0,KEY-PG
937,1941,868,1915,1.78483205,-0.00823189,KFH
938,1943,868,1916,1.75652945,-0.0283026,KFS
939,1947,869,1918,1.75060948,-0.00591997,KIM-PK
939,1947,869,1918,1.75060948,0.0,KINS
941,1951,869,1918,1.75897969,0.00837021,KMF
944,1958,869,1918,1.78133368,0.02235399,KMI
953,1975,869,1918,1.73778084,-0.04355284,KMM
954,1978,871,1921,1.74310835,0.00532751,KO
955,1980,875,1931,1.77205747,0.02894912,KOOL
960,1990,876,1936,1.73067171,-0.04138576,KRG
963,1994,880,1943,1.75771933,0.02704762,KRNY
971,2009,882,1948,1.75418875,-0.00353058,KSM
975,2018,883,1950,1.74708897,-0.00709978,KST
976,2019,885,1959,1.73520272,-0.01188625,KT
981,2027,886,1961,1.74067313,0.00547041,KTF
